Table 1,,,,,,,,,,,
"Value of support by type of support, program stream and year 1, 2 (All federal departments and agencies)",,,,,,,,,,,
,,,,,,,,,,,
Type of support and program stream,Year of funding/support/award,,,,,,,,,,
,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,"2007-2016
(Total value of support by type of support and program stream)"
GRANT,,,,,,,,,,,
BUSINESS DEVELOPMENT PROGRAM,X,X,X,X,X,"200,077",X,X,X,X,"1,266,620"
BUSINESS-LED CENTRES OF EXCELLENCE (BL-NCE),...,X,X,X,X,X,"11,134,750","11,134,750",X,X,"92,701,343"
CANADA PERIODICAL FUND,...,...,...,"353,905","499,877","358,207",X,X,...,...,"1,265,308"
CENTRES OF EXCELLENCE FOR COMMERCIALISATION AND RESEARCH,"163,360,750","35,025,635","27,485,125","29,813,625",X,X,"28,976,805","27,112,657","26,761,973","28,976,805","421,681,305"
COLLEGE AND COMMUNITY INNOVATION PROGRAM,X,"2,050,750","14,550,750",X,"29,461,731","32,812,129","41,902,588","45,168,691","40,595,936","45,026,789","279,853,230"
EXPERIENCE AWARDS (PREVIOUSLY INDUSTRIAL UNDERGRADUATE STUDENT RESEARCH AWARDS [IUSRA]),"3,424,696","3,367,616","3,265,683","3,869,338","3,897,128","5,121,789","4,896,545","5,686,276","6,376,264","8,191,149","48,096,484"
HEALTH INNOVATIONS PARTNERSHIP PROGRAM (EHIPP),...,...,...,...,...,"1,278,749","1,355,450",...,"1,704,737","3,567,108","7,906,044"
INDUSTRY PARTNERED COLLABORATIVE RESEARCH (IPCR),"3,122,110","3,240,647","3,096,614","3,485,966","3,554,772","3,486,345","4,654,982","3,994,356","3,806,140","3,513,654","35,955,586"
INDUSTRY-DRIVEN COLLABORATIVE RESEARCH AND DEVELOPMENT,"70,859,194","80,011,093","86,643,081","98,184,315","110,191,538","119,239,411","131,312,029","139,679,736","151,748,362","163,034,847","1,150,903,605"
PROOF OF PRINCIPLE (POP) PROGRAMS,"6,650,497","4,427,559","1,809,033","5,367,426","5,951,297","4,935,768","4,790,581","5,498,034","5,753,695","3,088,232","48,272,122"
STRATEGIC PARTNERSHIP GRANTS,"83,521,748","96,174,236","92,937,496","90,567,152","88,327,051","78,980,635","65,185,869","57,945,694","48,928,129","55,910,975","758,478,986"
TECHNOLOGY ACCESS CENTRES,...,...,...,...,"1,854,912","2,366,547","4,512,084","2,291,031","6,004,032","7,173,670","24,202,276"
Subtotal value of support (GRANT),"331,389,302","234,101,410","239,949,596","270,981,006","286,147,931","277,787,930","298,989,146","298,662,786","302,953,622","329,620,179","2,870,582,909"
,,,,,,,,,,,
NON REPAYABLE CONTRIBUTION,,,,,,,,,,,
2.1.1.4 INNOVATION MANAGEMENT,"2,483,692",X,X,...,...,...,...,...,...,...,"3,562,197"
2.1.2.1 PRE-STARTUP AND STARTUP OF INNOVATIVE ENTERPRISES,"1,869,788",X,X,...,...,...,...,...,...,...,"3,230,195"
2.2.1.2 APPLIED RESEARCH,"16,764,336","10,492,114","1,199,772",...,...,...,...,...,...,...,"28,456,222"
2.2.1.3 SERVICES AND TECHNOLOGY TRANSFER,"2,847,178","4,192,156","686,430",...,...,...,...,...,...,...,"7,725,764"
AC JUMPSTART,...,...,...,...,...,...,...,"990,000","780,000",...,"1,770,000"
ACHIEVING INNOVATION AND MANUFACTURING EXCELLENCE (AIME) GLOBAL INITIATIVE,...,...,...,...,...,...,...,"1,445,112","3,938,319","1,632,062","7,015,493"
ADVANCED MANUFACTURING FUND,...,...,...,...,...,...,...,...,X,X,X
ATLANTIC INNOVATION FUND,"26,224,746","28,104,484","26,431,811","29,788,178","33,581,447","32,443,459","27,232,668","29,317,067","21,796,401","17,065,464","271,985,725"
AUTOMOTIVE SUPPLIER INNOVATION PROGRAM,...,...,...,...,...,...,...,...,"3,562,234","9,177,704","12,739,938"
